Event 0
nTracks 10
0 : 2.54874
1 : 4.84965
2 : 2.73571
3 : 4.64791
4 : 2.56365
5 : 2.29179
6 : 3.61955
7 : 3.29926
8 : 3.9818
9 : 4.28947
Event 1
nTracks 10
0 : 3.17945
1 : 5.38777
2 : 6.13178
3 : 4.42817
4 : 2.63208
5 : 4.66314
6 : 0.11718
7 : 1.08006
8 : 2.34336
9 : 2.88975
Event 2
nTracks 10
0 : 5.85998
1 : 5.41722
2 : 5.83784
3 : 3.6813
4 : 2.60937
5 : 5.60654
6 : 1.12483
7 : 3.58258
8 : 1.64862
9 : 0.566269
Event 3
nTracks 10
0 : 3.8494
1 : 2.48179
2 : 4.94144
3 : 3.64622
4 : 5.29207
5 : 5.71368
6 : 5.65094
7 : 0.159735
8 : 5.31529
9 : 0.246444
Event 4
nTracks 10
0 : 2.86481
1 : 4.64028
2 : 4.1325
3 : 1.64317
4 : 5.78151
5 : 3.56468
6 : 3.75651
7 : 0.602048
8 : 2.07286
9 : 2.12502
Event 5
nTracks 10
0 : 3.7783
1 : 0.357734
2 : 0.817394
3 : 2.64723
4 : 6.00095
5 : 3.12582
6 : 2.42354
7 : 2.21619
8 : 3.19409
9 : 4.79613
Event 6
nTracks 10
0 : 1.40866
1 : 2.66222
2 : 2.59304
3 : 5.49357
4 : 2.56013
5 : 5.79179
6 : 3.5763
7 : 2.90512
8 : 3.27281
9 : 5.74938
Event 7
nTracks 10
0 : 2.2704
1 : 1.58965
2 : 0.237307
3 : 0.820851
4 : 0.101709
5 : 2.74506
6 : 5.31463
7 : 5.25907
8 : 3.80397
9 : 1.17732
Event 8
nTracks 10
0 : 5.59391
1 : 2.11449
2 : 3.34572
3 : 2.51524
4 : 6.22309
5 : 3.79794
6 : 2.03354
7 : 6.05464
8 : 5.21113
9 : 4.29898
Event 9
nTracks 10
0 : 6.20938
1 : 5.47471
2 : 5.45598
3 : 0.0216471
4 : 3.64123
5 : 3.47312
6 : 4.07189
7 : 2.30279
8 : 6.08055
9 : 5.47721
Event 10
nTracks 10
0 : 0.0422501
1 : 1.9884
2 : 2.26881
